encoding,code,code_clean,description,source,observations
nuts-2,ES11,ES11,Galicia,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES12,ES12,Asturias,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES13,ES13,Cantabria,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES21,ES21,País Vasco,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES22,ES22,Navarra,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES23,ES23,La Rioja,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES24,ES24,Aragón,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES30,ES30,Madrid,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES41,ES41,Castilla-León,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES42,ES42,Castilla-La Mancha,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES43,ES43,Extremadura,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES51,ES51,Cataluña,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES52,ES52,Valencia,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES53,ES53,Baleares,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES61,ES61,Andalucia,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES62,ES62,Murcia,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES63,ES63,Ceuta,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES64,ES64,Melilla,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
nuts-2,ES70,ES70,Canarias,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
